Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-5797,LAVOIR 2,WW1,45.149383,6.635178,JN35HD
FBOTA,227,B/F-5798,LAVOIR 2,WW1,45.149383,6.635178,JN35HD
FBOTA,227,B/F-5799,ARRONDAZ,WW1,45.145581,6.65908,JN35HD
FBOTA,227,B/F-5800,LAC des BATAILLERES,WW1,45.143144,6.563476,JN35GD
FBOTA,227,B/F-5801,LAC des BATAILLERES,WW1,45.143144,6.563476,JN35GD
FBOTA,227,B/F-5802,PAS du ROC,WW1,45.142724,6.653204,JN35HD
FBOTA,227,B/F-5803,PAS du ROC,WW1,45.142724,6.653204,JN35HD
FBOTA,227,B/F-5804,NOTRE-DAME des NEIGES 6,WW1,45.13521,6.51196,JN35GD
FBOTA,227,B/F-5805,NOTRE-DAME des NEIGES 6,WW1,45.13521,6.51196,JN35GD
FBOTA,227,B/F-5806,NOTRE-DAME des NEIGES,WW1,45.134835,6.506327,JN35GD
FBOTA,227,B/F-5807,NOTRE-DAME des NEIGES,WW1,45.134835,6.506327,JN35GD
FBOTA,227,B/F-5808,COTE 2415,WW1,45.134524,6.520324,JN35GD
FBOTA,227,B/F-5809,COTE 2415,WW1,45.134524,6.520324,JN35GD
FBOTA,227,B/F-5810,NOTRE-DAME des NEIGES 2,WW1,45.13434,6.512729,JN35GD
FBOTA,227,B/F-5811,NOTRE-DAME des NEIGES 2,WW1,45.13434,6.512729,JN35GD
FBOTA,227,B/F-5812,NOTRE-DAME des NEIGES 3,WW1,45.13159,6.507456,JN35GD
FBOTA,227,B/F-5813,NOTRE-DAME des NEIGES 3,WW1,45.13159,6.507456,JN35GD
FBOTA,227,B/F-5814,VALLEE ETROITE,WW1,45.131217,6.607552,JN35HD
FBOTA,227,B/F-5815,FREJUS,WW1,45.130869,6.666018,JN35HD
FBOTA,227,B/F-5816,FREJUS,WW1,45.130869,6.666018,JN35HD
FBOTA,227,B/F-5817,COL du FREJUS,WW1,45.130263,6.673376,JN35ID
FBOTA,227,B/F-5818,COL du FREJUS,WW1,45.130263,6.673376,JN35ID
FBOTA,227,B/F-5819,NOTRE-DAME des NEIGES 4,WW1,45.13014,6.506019,JN35GD
FBOTA,227,B/F-5820,NOTRE-DAME des NEIGES 4,WW1,45.13014,6.506019,JN35GD
FBOTA,227,B/F-5821,NOTRE-DAME des NEIGES 5,WW1,45.127719,6.503319,JN35GD
FBOTA,227,B/F-5822,NOTRE-DAME des NEIGES 5,WW1,45.127719,6.503319,JN35GD
FBOTA,227,B/F-5823,NOTRE-DAME des NEIGES 5,WW1,45.12727,6.503762,JN35GD
FBOTA,227,B/F-5824,NOTRE-DAME des NEIGES 5,WW1,45.12727,6.503762,JN35GD
FBOTA,227,B/F-5825,La ROUE,WW1,45.126065,6.643875,JN35HD
FBOTA,227,B/F-5826,La ROUE,WW1,45.126065,6.643875,JN35HD
FBOTA,227,B/F-5827,BONNENUIT 2,WW1,45.117289,6.425307,JN35FC
FBOTA,227,B/F-5828,BONNENUIT 2,WW1,45.117289,6.425307,JN35FC
FBOTA,227,B/F-5829,BONNENUIT 1,WW1,45.115669,6.420363,JN35FC
FBOTA,227,B/F-5830,BONNENUIT 1,WW1,45.115669,6.420363,JN35FC
FBOTA,227,B/F-5831,AIGUILLE NOIRE,WW1,45.088133,6.485752,JN35FC
FBOTA,227,B/F-5832,AIGUILLE NOIRE,WW1,45.088133,6.485752,JN35FC
FBOTA,227,B/F-5833,PLAN LACHAT 1,WW1,45.087884,6.445504,JN35FC
FBOTA,227,B/F-5834,PLAN LACHAT 1,WW1,45.087884,6.445504,JN35FC
FBOTA,227,B/F-5835,PLAN LACHAT 6,WW1,45.087608,6.445487,JN35FC
FBOTA,227,B/F-5836,PLAN LACHAT 6,WW1,45.087608,6.445487,JN35FC
FBOTA,227,B/F-5837,PLAN LACHAT 8,WW1,45.085837,6.443565,JN35FC
FBOTA,227,B/F-5838,PLAN LACHAT 8,WW1,45.085837,6.443565,JN35FC
FBOTA,227,B/F-5839,PLAN LACHAT 2,WW1,45.085654,6.443206,JN35FC
FBOTA,227,B/F-5840,Les ROCHILLES,WW1,45.084378,6.487372,JN35FC
FBOTA,227,B/F-5841,Les ROCHILLES,WW1,45.084378,6.487372,JN35FC
FBOTA,227,B/F-5842,PLAN LACHAT 9,WW1,45.081944,6.44241,JN35FB
FBOTA,227,B/F-5843,PLAN LACHAT 9,WW1,45.081944,6.44241,JN35FB
FBOTA,227,B/F-5844,PLAN LACHAT,WW1,45.080205,6.440743,JN35FB
FBOTA,227,B/F-5845,PLAN LACHAT,WW1,45.080205,6.440743,JN35FB
FBOTA,227,B/F-5846,PLAN LACHAT 10,WW1,45.079446,6.441311,JN35FB
FBOTA,227,B/F-5847,PLAN LACHAT 10,WW1,45.079446,6.441311,JN35FB
FBOTA,227,B/F-5848,TETE NOIRE,WW1,45.037388,6.643352,JN35HA
FBOTA,227,B/F-5849,COL de L'ECHELLE 3,WW1,45.028787,6.659571,JN35HA
FBOTA,227,B/F-5850,COL de L'ECHELLE 2,WW1,45.028591,6.659616,JN35HA
FBOTA,227,B/F-5851,COL de L'ECHELLE Est,WW1,45.027422,6.6595,JN35HA
FBOTA,227,B/F-5852,COL de L'ECHELLE 1,WW1,45.027144,6.6542,JN35HA
FBOTA,227,B/F-5853,COL de L'ECHELLE Ouest,WW1,45.025941,6.653628,JN35HA
FBOTA,227,B/F-5854,LAC du CHATELARD,WW1,45.023877,6.525577,JN35GA
FBOTA,227,B/F-5855,Les ACLES,WW1,45.019958,6.698318,JN35IA
FBOTA,227,B/F-5856,ROCHER de BARRABAS,WW1,45.019312,6.687685,JN35IA
FBOTA,227,B/F-5857,Les ACLES Est 4,WW1,45.018928,6.700275,JN35IA
FBOTA,227,B/F-5858,Les ACLES Ouest,WW1,45.018774,6.689125,JN35IA
FBOTA,227,B/F-5859,Les ACLES Est 1,WW1,45.01871,6.700931,JN35IA
FBOTA,227,B/F-5860,Les ACLES Ouest 1,WW1,45.01851,6.690631,JN35IA
FBOTA,227,B/F-5861,Les ACLES Ouest 2,WW1,45.018158,6.690487,JN35IA
FBOTA,227,B/F-5862,Les ACLES Est 5,WW1,45.017979,6.700999,JN35IA
FBOTA,227,B/F-5863,Les ACLES Est 2,WW1,45.017394,6.700218,JN35IA
FBOTA,227,B/F-5864,Les ACLES Est,WW1,45.017071,6.700781,JN35IA
FBOTA,227,B/F-5865,Les ACLES Est 3,WW1,45.017037,6.700123,JN35IA
FBOTA,227,B/F-5866,TORRENT des ACLES 2,WW1,45.009575,6.692124,JN35IA
